[*] Progress: step 16, window bits ~1009
[*] Progress: step 32, window bits ~993
[*] Progress: step 48, window bits ~977
[*] Progress: step 64, window bits ~961
[*] Progress: step 80, window bits ~945
[*] Progress: step 96, window bits ~929
[*] Progress: step 112, window bits ~913
[*] Progress: step 128, window bits ~897
[*] Progress: step 144, window bits ~881
[*] Progress: step 160, window bits ~865
[*] Progress: step 176, window bits ~849
[*] Progress: step 192, window bits ~833
[*] Progress: step 208, window bits ~817
[*] Progress: step 224, window bits ~801
[*] Progress: step 240, window bits ~785
[*] Progress: step 256, window bits ~769
[*] Progress: step 272, window bits ~753
[*] Progress: step 288, window bits ~737
[*] Progress: step 304, window bits ~721
[*] Progress: step 320, window bits ~705
[*] Progress: step 336, window bits ~689
[*] Progress: step 352, window bits ~673
[*] Progress: step 368, window bits ~657
[*] Progress: step 384, window bits ~641
[*] Progress: step 400, window bits ~625
[*] Progress: step 416, window bits ~609
[*] Progress: step 432, window bits ~593
[*] Progress: step 448, window bits ~577
[*] Progress: step 464, window bits ~561
[*] Progress: step 480, window bits ~545
[*] Progress: step 496, window bits ~529
[*] Progress: step 512, window bits ~513
[*] Progress: step 528, window bits ~497
[*] Progress: step 544, window bits ~481
[*] Progress: step 560, window bits ~465
[*] Progress: step 576, window bits ~449
[*] Progress: step 592, window bits ~433
[*] Progress: step 608, window bits ~417
[*] Progress: step 624, window bits ~401
[*] Progress: step 640, window bits ~385
[*] Progress: step 656, window bits ~369
[*] Progress: step 672, window bits ~353
[*] Progress: step 688, window bits ~337
[*] Progress: step 704, window bits ~321
[*] Progress: step 720, window bits ~305
[*] Progress: step 736, window bits ~289
[*] Progress: step 752, window bits ~273
[*] Progress: step 768, window bits ~257
[*] Progress: step 784, window bits ~241
[*] Progress: step 800, window bits ~225
[*] Progress: step 816, window bits ~209
[*] Progress: step 832, window bits ~193
[*] Progress: step 848, window bits ~177
[*] Progress: step 864, window bits ~161
[*] Progress: step 880, window bits ~145
[*] Progress: step 896, window bits ~129
[*] Progress: step 912, window bits ~113
[*] Progress: step 928, window bits ~97
[*] Progress: step 944, window bits ~81
[*] Progress: step 960, window bits ~65
[*] Progress: step 976, window bits ~49
[*] Progress: step 992, window bits ~33
[*] Progress: step 1008, window bits ~17
[*] Progress: step 1024, window bits ~1
[+] r recovered: 2281220308811097609320585802850145662446614253624279965289596258949637583604338693252956405658685699889321154786797203655344352360687718999126330659861107094125997337180132475041437096123301888
