[*] step=8, window_bits=1017
[*] step=16, window_bits=1009
[*] step=24, window_bits=1001
[*] step=32, window_bits=993
[*] step=40, window_bits=985
[*] step=48, window_bits=977
[*] step=56, window_bits=969
[*] step=64, window_bits=961
[*] step=72, window_bits=953
[*] step=80, window_bits=945
[*] step=88, window_bits=937
[*] step=96, window_bits=929
[*] step=104, window_bits=921
[*] step=112, window_bits=913
[*] step=120, window_bits=905
[*] step=128, window_bits=897
[*] step=136, window_bits=889
[*] step=144, window_bits=881
[*] step=152, window_bits=873
[*] step=160, window_bits=865
[*] step=168, window_bits=857
